,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Rikitea,PF,73.41,-23.12,-134.97,100,0,8.23
1,Dhidhdhoo,MV,83.58,6.88,73.1,100,8,8.46
2,Nerchinskiy Zavod,RU,67.02,51.31,119.61,64,64,10.69
3,Busselton,AU,58.56,-33.64,115.35,100,80,13.82
4,Batemans Bay,AU,68.91,-35.71,150.18,61,0,6.55
5,Yatou,CM,75.2,3.63,9.81,100,75,2.24
6,Umm Lajj,SA,85.92,25.02,37.27,77,0,7.34
7,Cravo Norte,CO,75.84,6.3,-70.2,92,88,3.42
8,Yeppoon,AU,77,-23.13,150.74,36,0,12.75
9,Hobart,AU,66.2,-42.88,147.33,45,75,16.11
10,Port Blair,IN,83.13,11.67,92.75,98,68,8.57
11,Palmer,AU,60.8,-34.85,139.16,67,75,20.8
12,Klaksvik,FO,48.2,62.23,-6.59,100,88,2.24
13,San Quintin,PH,86,17.54,120.52,74,75,11.41
14,Atuona,PF,78.54,-9.8,-139.03,100,0,16.06
15,Hilo,US,67.87,19.71,-155.08,74,40,11.41
16,Ushuaia,AR,42.8,-54.81,-68.31,75,20,4.7
17,Katsuura,JP,78.8,33.93,134.5,65,40,10.29
18,Cape Town,ZA,42.8,-33.93,18.42,93,0,4.7
19,Cabo San Lucas,MX,77,22.89,-109.91,88,40,10.25
20,Haines Junction,CA,38.94,60.75,-137.51,63,8,2.98
21,Vaini,IN,78.45,15.34,74.49,87,8,3.65
22,Havre-Saint-Pierre,CA,37.4,50.23,-63.6,100,40,4.7
23,Mataura,NZ,48.3,-46.19,168.86,73,8,7
24,Mollendo,PE,48.39,-17.03,-72.02,92,8,0.63
25,Avarua,CK,75.2,-21.21,-159.78,83,75,3.36
26,Lebu,ET,61.98,8.96,38.73,83,8,1.97
27,Namibe,AO,62.43,-15.19,12.15,100,88,6.55
28,Halifax,CA,51.8,44.65,-63.58,81,40,4.7
29,Victoria,BN,86.92,5.28,115.24,79,75,4.7
30,Bol,TD,79.17,13.47,14.72,75,0,3.98
31,Alyangula,AU,81.78,-13.85,136.42,80,0,8.9
32,Sao Paulo de Olivenca,BR,76.65,-3.38,-68.87,93,44,2.19
33,San Patricio,PY,66.48,-26.98,-56.83,71,0,5.44
34,Severo-Kurilsk,RU,51.9,50.68,156.12,91,88,2.86
35,Yokadouma,CM,68.01,3.52,15.05,99,88,2.98
36,College,US,48.18,64.86,-147.8,74,1,2.98
37,Bambous Virieux,MU,71.6,-20.34,57.76,83,75,11.41
38,Ballina,IE,48.2,54.11,-9.15,93,75,9.17
39,Albany,US,59.04,42.65,-73.75,90,90,4.7
40,Taoudenni,ML,81.78,22.68,-3.98,52,76,5.88
41,Butaritari,KI,85.56,3.07,172.79,100,68,11.7
42,Mar del Plata,AR,51.54,-46.43,-67.52,55,12,16.28
